name_auction	link	serial_number	hours_used	sold_price	sold_date	country
2001 AMMANN AV23E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9119867&LP=MAT	TFAAV23EY10002576	1.756	4.000	21-3-2013 9:31:00	Netherlands
2000 AMMANN AV23E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266636&LP=MAT	TFAAV23EYY0002333	1.766	3.000	26-9-2014 2:08:00	Netherlands
AMMANN AV23E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9119831&LP=MAT	TFAAV23EY10002877	2.106	4.500	22-3-2013 2:19:00	Netherlands
2005 AMMANN AV26	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9819437&LP=MAT		680	6.000	28-2-2014 4:02:00	Netherlands
2001 AMMANN AV26	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9819439&LP=MAT		1.005	5.000	28-2-2014 4:02:00	Netherlands
2006 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9119781&LP=MAT	TFAAV26EY60020307	529	9.000	21-3-2013 9:31:00	Netherlands
2006 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9975945&LP=MAT	TFAAV26EY60020036	931	7.000	9-5-2014 2:29:00	Netherlands
2006 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266562&LP=MAT	TFAAV26EY60020382	796	5.750	26-9-2014 2:08:00	Netherlands
2005 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098967&LP=MAT	TFAAV26EY50004435		6.000	3-7-2014 9:51:00	Netherlands
2005 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098971&LP=MAT	TFAV26FEY5004402		6.000	3-7-2014 9:51:00	Netherlands
2004 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098987&LP=MAT	TFAAV26EY40004027		6.000	3-7-2014 9:51:00	Netherlands
2002 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098991&LP=MAT	3133		4.000	3-7-2014 9:51:00	Netherlands
2001 AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098993&LP=MAT	TFAAV26EY10002691		4.000	3-7-2014 9:51:00	Netherlands
AMMANN AV26-2	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9119821&LP=MAT	TFAAV26EYX001421		5.000	21-3-2013 9:31:00	Netherlands
2004 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10098989&LP=MAT	TFAAV26EY40003806		4.250	3-7-2014 9:51:00	Netherlands
2004 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266566&LP=MAT	TFAAV26EY40003695	791	4.250	26-9-2014 2:08:00	Netherlands
2004 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9304899&LP=MAT	TFAAV26EY40004005	3.090	4.000	13-6-2013 5:58:00	Netherlands
2004 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9304907&LP=MAT	TFAAV26EY40004004	2.610	4.000	13-6-2013 5:58:00	Netherlands
2003 AMMANN AV26E	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266572&LP=MAT	TFAAV26EY30003569	1.835	4.000	26-9-2014 2:08:00	Netherlands
